Record_No,1287,Record_No,1288,Record_No,1297,Record_No,1298,Record_No,1307,Record_No,1308,Record_No,1317,Record_No,1318,Record_No,1327,Record_No,1328,Record_No,1337,Record_No,1338,Record_No,1347,Record_No,1348,Record_No,1357,Record_No,1358,Record_No,1367,Record_No,1368
Animal ID,2574,Animal ID,2574,Animal ID,2575,Animal ID,2575,Animal ID,2568,Animal ID,2568,Animal ID,2579,Animal ID,2579,Animal ID,2571,Animal ID,2571,Animal ID,2569,Animal ID,2569,Animal ID,2572,Animal ID,2572,Animal ID,2578,Animal ID,2578,Animal ID,2577,Animal ID,2577
Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,
Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,
Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,
Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899
TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018,TestDate,Dec/28/2018
TestTime,9:54:35,TestTime,9:54:35,TestTime,10:21:02,TestTime,10:21:02,TestTime,10:48:19,TestTime,10:48:19,TestTime,11:21:38,TestTime,11:21:38,TestTime,11:54:48,TestTime,11:54:48,TestTime,13:45:04,TestTime,13:45:04,TestTime,14:19:32,TestTime,14:19:32,TestTime,14:47:05,TestTime,14:47:05,TestTime,15:19:08,TestTime,15:19:08
Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            ,Protocol,CONE PHOTOPIC SARO            
Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2,Step_No,2
Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L
